mill,product,count
"Austell Forest Products Inc (Gordo, AL)",1x4 | #2 | 8ft,11
"Hood Industries, Inc. (Silver Creek, MS)",2x8 | #2 | 10ft,2
"Hood Industries, Inc. (Silver Creek, MS)",2x8 | #2 | 8ft,2
"Hood Industries, Inc. (Silver Creek, MS)",2x4 | #2 | 10ft,1
"Hood Industries, Inc. (Silver Creek, MS)",2x6 | #1 | 20ft,1
"Hood Industries, Inc. (Silver Creek, MS)",2x8 | #2 | 14ft,1
"Interfor US, Inc (Baxley, GA)",2x8 | #2 | 12ft,1
"Interfor US, Inc (Baxley, GA)",2x8 | #2 | 8ft,1
"Interfor US, Inc (Bay Springs, MS)",2x6 | #2 | 6ft,2
"Interfor US, Inc (Bay Springs, MS)",2x4 | #2 | 20ft,1
"Interfor US, Inc (Belk, AL)",2x4 | #1 | 20ft,1
"Interfor US, Inc (Belk, AL)",2x4 | #2 | 20ft,1
"Interfor US, Inc (Belk, AL)",2x4 | #2 | 8ft,1
"Interfor US, Inc (Dequincy, LA)",2x4 | #1 | 12ft,1
"Interfor US, Inc (Dequincy, LA)",2x4 | #1 | 16ft,1
"Interfor US, Inc (Eatonton, GA)",2x10 | #2 | 16ft,1
"Interfor US, Inc (Eatonton, GA)",2x4 | #2 | 16ft,1
"Interfor US, Inc (Eatonton, GA)",2x6 | #2 | 12ft,1
"Interfor US, Inc (Eatonton, GA)",2x6 | #2 | 16ft,1
"Interfor US, Inc (Eatonton, GA)",2x8 | #2 | 12ft,1
"Interfor US, Inc (Eatonton, GA)",2x8 | #2 | 16ft,1
"Interfor US, Inc (Eatonton, GA)",2x8 | #2 | 8ft,1
"Interfor US, Inc (Georgetown, SC)",2x6 | #2 | 8ft,1
"Interfor US, Inc (Perry, GA)",2x8 | #2 | 12ft,1
"Interfor US, Inc (Perry, GA)",2x8 | #2 | 8ft,1
"Interfor US, Inc (Preston, GA)",2x8 | #2 | 12ft,1
"Interfor US, Inc (Thomaston, GA)",2x8 | #2 | 12ft,1
"Jack Batte and Sons, Inc. (Forest, MS)",4x6 | #2 | 16ft,9
"Jack Batte and Sons, Inc. (Forest, MS)",4x6 | #2 | 8ft,5
"Jack Batte and Sons, Inc. (Forest, MS)",4x6 | #2 | 10ft,4
"Jack Batte and Sons, Inc. (Forest, MS)",4x6 | #2 | 20ft,4
"Jack Batte and Sons, Inc. (Forest, MS)",4x6 | #2 | 12ft,3
"Jack Batte and Sons, Inc. (Forest, MS)",4x6 | #2 | 14ft,1
"Jack Batte and Sons, Inc. (Forest, MS)",4x6 | #2 | 18ft,1
"Jasper Lumber Co, Inc (Jasper, AL)",4x4 | #1 | 12ft,2
"Jasper Lumber Co, Inc (Jasper, AL)",4x4 | #2 | 12ft,1
"KyKenKee, Inc (Vance, AL)",4x4 | #2 | 8ft,1
"LaSalle Lumber Company, LLC (Olla, LA)",2x4 | #2 | 12ft,35
"LaSalle Lumber Company, LLC (Olla, LA)",2x4 | #2 | 10ft,27
"LaSalle Lumber Company, LLC (Olla, LA)",2x4 | #2 | 18ft,5
"LaSalle Lumber Company, LLC (Olla, LA)",2x6 | #1 | 14ft,4
"LaSalle Lumber Company, LLC (Olla, LA)",2x4 | #1 | 18ft,3
"LaSalle Lumber Company, LLC (Olla, LA)",2x4 | #1 | 20ft,3
"LaSalle Lumber Company, LLC (Olla, LA)",2x4 | #2 | 16ft,3
"LaSalle Lumber Company, LLC (Olla, LA)",2x4 | #2 | 20ft,3
"LaSalle Lumber Company, LLC (Olla, LA)",2x4 | #1 | 12ft,2
